numero_puntos,t_gift_wrapping,t_incremental,t_incremental_nosort,igual_gw_inc,igual_gw_incns,igual_inc_incns,n_cupula_gw,n_cupula_inc,n_cupula_incns
165000,0.0175564,0.0264114,0.00859312,1,1,1,32,32,32
165000,0.0160632,0.0263942,0.00870725,1,1,1,28,28,28
165000,0.0155258,0.0263255,0.00870375,1,1,1,28,28,28
165000,0.0160274,0.0265573,0.00870924,1,1,1,29,29,29
165000,0.0160375,0.0266342,0.00873264,1,1,1,29,29,29
170000,0.0181127,0.0283082,0.0091961,1,1,1,32,32,32
170000,0.0184572,0.0272172,0.008859,1,1,1,32,32,32
170000,0.0186673,0.0271503,0.00885379,1,1,1,33,33,33
170000,0.0160107,0.0270716,0.00888793,1,1,1,28,28,28
170000,0.0160168,0.0271469,0.00885583,1,1,1,28,28,28
170000,0.0180894,0.0272344,0.00885331,1,1,1,32,32,32
170000,0.0206149,0.0271188,0.00893184,1,1,1,36,36,36
170000,0.0154963,0.0271744,0.00887779,1,1,1,27,27,27
170000,0.0200261,0.0274167,0.00885124,1,1,1,35,35,35
170000,0.02332,0.0272525,0.00891737,1,1,1,42,42,42
175000,0.0195386,0.028716,0.00915402,1,1,1,34,34,34
175000,0.0208139,0.0279234,0.00914456,1,1,1,36,36,36
175000,0.019731,0.0283417,0.00914838,1,1,1,34,34,34
175000,0.0186381,0.0281123,0.00928368,1,1,1,32,32,32
175000,0.0197244,0.0279006,0.00915079,1,1,1,34,34,34
175000,0.016475,0.0278872,0.0091113,1,1,1,28,28,28
175000,0.0202609,0.0279254,0.00925367,1,1,1,34,34,34
175000,0.0181309,0.0280403,0.00918995,1,1,1,31,31,31
175000,0.0175889,0.0279614,0.00924993,1,1,1,30,30,30
175000,0.0188509,0.028041,0.00912271,1,1,1,32,32,32
180000,0.0220518,0.0296551,0.00945604,1,1,1,36,36,36
180000,0.021855,0.0302033,0.00947628,1,1,1,34,34,34
180000,0.0180733,0.0290455,0.00947899,1,1,1,30,30,30
180000,0.0197497,0.0291174,0.00960954,1,1,1,33,33,33
180000,0.0164415,0.0290991,0.00951342,1,1,1,27,27,27
180000,0.0147437,0.0291042,0.00966408,1,1,1,24,24,24
180000,0.0180125,0.0291392,0.00952653,1,1,1,30,30,30
